ilce,tur,ad,dosya,longitude,latitude
BERGAMA,MAHALLE,GAZİOSMANPAŞA,BERGAMA_GAZİOSMANPAŞA_mahalle_siniri.kml,27.185519725954833,39.10983444100513
BERGAMA,MAHALLE,GAZİPAŞA,BERGAMA_GAZİPAŞA_mahalle_siniri.kml,27.176789050945388,39.119753040262594
BERGAMA,MAHALLE,GÖBELLER,BERGAMA_GÖBELLER_mahalle_siniri.kml,27.03146947777473,39.23868794494211
BERGAMA,MAHALLE,GÖKÇEYURT,BERGAMA_GÖKÇEYURT_mahalle_siniri.kml,27.191890734434065,39.19643813932364
BERGAMA,MAHALLE,GÖÇBEYLİ,BERGAMA_GÖÇBEYLİ_mahalle_siniri.kml,27.40290612623581,39.20691350579567
BERGAMA,MAHALLE,GÜLTEPE,BERGAMA_GÜLTEPE_mahalle_siniri.kml,27.327212041907067,39.327432971987776
BERGAMA,MAHALLE,GÜNEŞLİ TEKKE ,BERGAMA_GÜNEŞLİ_TEKKE__mahalle_siniri.kml,27.11509111503996,39.35224195735416
BERGAMA,MAHALLE,HACIHAMZALAR,BERGAMA_HACIHAMZALAR_mahalle_siniri.kml,27.039913452056407,39.300299927599774
BERGAMA,MAHALLE,HACILAR TURANLI ,BERGAMA_HACILAR_TURANLI__mahalle_siniri.kml,27.264594085778135,39.33534286297381
BERGAMA,MAHALLE,HACILAR YUNTDAĞ ,BERGAMA_HACILAR_YUNTDAĞ__mahalle_siniri.kml,27.230948089309518,38.96775933149519
BERGAMA,MAHALLE,HALİLAĞALAR,BERGAMA_HALİLAĞALAR_mahalle_siniri.kml,27.2926887591978,39.34123426622456
BERGAMA,MAHALLE,HAMZALI SÜLEYMANİYE,BERGAMA_HAMZALI_SÜLEYMANİYE_mahalle_siniri.kml,27.21100896489795,39.152399647651315
BERGAMA,MAHALLE,HİSAR,BERGAMA_HİSAR_mahalle_siniri.kml,26.998854928866393,39.25807314914155
BERGAMA,MAHALLE,ORUÇLAR,BERGAMA_ORUÇLAR_mahalle_siniri.kml,27.31611584842491,39.365676182863176
BERGAMA,MAHALLE,OVACIK,BERGAMA_OVACIK_mahalle_siniri.kml,27.053820233933084,39.058764125969105
BERGAMA,MAHALLE,PAŞAKÖY,BERGAMA_PAŞAKÖY_mahalle_siniri.kml,27.305420684383243,39.223857461807
BERGAMA,MAHALLE,PINARKÖY,BERGAMA_PINARKÖY_mahalle_siniri.kml,27.052550961363707,39.11649224451558
BERGAMA,MAHALLE,PİREVELİLER,BERGAMA_PİREVELİLER_mahalle_siniri.kml,27.24832722026388,39.267893181102835
BERGAMA,MAHALLE,RAHMANLAR,BERGAMA_RAHMANLAR_mahalle_siniri.kml,27.32553856742054,38.93380719505486
BERGAMA,MAHALLE,SARICALAR,BERGAMA_SARICALAR_mahalle_siniri.kml,27.451903551604076,39.206455463212784
BERGAMA,MAHALLE,SARICAOĞLU,BERGAMA_SARICAOĞLU_mahalle_siniri.kml,27.380568360901304,39.316658357240435
BERGAMA,MAHALLE,SARIDERE,BERGAMA_SARIDERE_mahalle_siniri.kml,27.09709738835676,39.019898591460034
BERGAMA,MAHALLE,SAĞANCI,BERGAMA_SAĞANCI_mahalle_siniri.kml,27.016155378272746,39.073708770330896
BERGAMA,MAHALLE,SEKLİK,BERGAMA_SEKLİK_mahalle_siniri.kml,27.214604390737012,38.88436999896269
BERGAMA,MAHALLE,SELÇUK,BERGAMA_SELÇUK_mahalle_siniri.kml,27.16772083932633,39.13207357367348
BERGAMA,MAHALLE,SÜLEYMANLI,BERGAMA_SÜLEYMANLI_mahalle_siniri.kml,27.063969782443877,39.05162550907876
BERGAMA,MAHALLE,SİNDEL,BERGAMA_SİNDEL_mahalle_siniri.kml,27.20953329690908,39.07732645907055
BERGAMA,MAHALLE,TALATPAŞA,BERGAMA_TALATPAŞA_mahalle_siniri.kml,27.183385957479818,39.12381341602083
BERGAMA,MAHALLE,AZİZİYE,BERGAMA_AZİZİYE_mahalle_siniri.kml,27.34152966720782,39.215319218096674
BERGAMA,MAHALLE,AŞAĞIBEY,BERGAMA_AŞAĞIBEY_mahalle_siniri.kml,26.95583836485208,39.24688316688524
BERGAMA,MAHALLE,AŞAĞICUMA,BERGAMA_AŞAĞICUMA_mahalle_siniri.kml,27.02237175802266,39.275423056676885
BERGAMA,MAHALLE,AŞAĞIILGINDERE,BERGAMA_AŞAĞIILGINDERE_mahalle_siniri.kml,27.46828087150928,39.25528109853846
BERGAMA,MAHALLE,AŞAĞIKIRIKLAR,BERGAMA_AŞAĞIKIRIKLAR_mahalle_siniri.kml,27.01825608381171,39.030609553945254
